region,date,weekid,rate,temp.max,temp.mean,temp.min,relative.humidity,total.rainfall,solar.radiation,wind.speed,absolute.humidity,pressure,temp.range,monthid
HK,4/7/2004,27,1.013821862,34.6,30.42857143,29.4,78.42857143,3.728571429,14.66,22.64285714,24.32906347,1000.2,4.457142857,7
HK,11/7/2004,28,2.482316829,32.3,29.57142857,29.3,77.71428571,3.435714286,15.70571429,27.02857143,23.0528316,1007.414286,3.514285714,7
HK,18/7/2004,29,2.019597115,32.8,27.72857143,27.3,81,19.32857143,15.77857143,18.67142857,21.64840265,1008.014286,4.9,7
HK,25/7/2004,30,1.485628808,30.9,27.71428571,27.3,84.71428571,16.07857143,16.49428571,24.32857143,22.65489719,1008.571429,3.542857143,7
HK,1/8/2004,31,1.962605793,31.9,27.7,26.8,83.71428571,14.9,13.71571429,17.38571429,22.33332492,1006.885714,3.685714286,8
HK,8/8/2004,32,2.134918437,32,28.5,28,80.14285714,17.27142857,17.49571429,15.28333333,22.33995389,1005.328571,4.242857143,8
HK,15/8/2004,33,2.661524431,33.9,29.14285714,28.9,78,8.207142857,16.72714286,19.22,22.58077937,1002.971429,4.785714286,8
HK,22/8/2004,34,2.139578958,33.4,28.61428571,29.3,82.57142857,13.00714286,11.89285714,12.64285714,23.12831048,1005.657143,3.714285714,8
HK,29/8/2004,35,1.385618179,32.7,27.61428571,27.5,84.85714286,28,8.9,19.15714286,22.52805081,999.3,4.071428571,8
HK,5/9/2004,36,2.659451562,32.4,28.34285714,27.7,85,5.928571429,14.59571429,15.32857143,23.54774629,1006.228571,3.914285714,9
HK,12/9/2004,37,3.21326146,32.6,26.82857143,27.4,80.71428571,9.071428571,10.05142857,16.14285714,20.63175855,1006.128571,3.7,9
HK,19/9/2004,38,1.746326837,30.4,27.9,27.1,74.57142857,9.385714286,15.71571429,12.68571429,20.13249617,1011.457143,3.657142857,9
HK,26/9/2004,39,2.101692374,30.9,27.21428571,26.4,75.42857143,2.471428571,16.92714286,16.12857143,19.66013,1012.928571,4.457142857,9
HK,3/10/2004,40,2.918554046,31.6,26.74285714,27,67.57142857,0.428571429,16.35428571,20.48571429,17.47472489,1013.842857,4.385714286,10
HK,10/10/2004,41,2.525177656,30,25.2,23.4,58.14285714,0.007142857,17.50857143,15.17142857,13.53664977,1014.4,5.685714286,10
HK,17/10/2004,42,1.648637546,29.3,25.11428571,23.9,69.14285714,0.007142857,15.92285714,21.24285714,16.01437654,1016.814286,4.4,10
HK,24/10/2004,43,0.802568218,28.9,25.01428571,24.2,62.85714286,0.021428571,16.19857143,26.2,14.44765996,1015.585714,4.271428571,10
HK,31/10/2004,44,0.875483198,28.6,24.31428571,23.1,68.28571429,0.342857143,16.06571429,26.54285714,15.06261024,1017.757143,4.1,10
HK,7/11/2004,45,0.567861586,27.1,23.75714286,22.9,75.71428571,0.007142857,13.59428571,21.82857143,16.25261773,1017.314286,3.042857143,11
HK,14/11/2004,46,0.418020787,27.5,24.78571429,24.5,82.28571429,0.035714286,11.06428571,21.84285714,18.74027492,1016.557143,2.642857143,11
HK,21/11/2004,47,0.145828941,24.5,20.87142857,20.1,63.57142857,0,13.06,25.92857143,11.60993592,1019.514286,4.185714286,11
HK,28/11/2004,48,0.346546531,26,21.75714286,21.9,71,0.064285714,10.18428571,26.32857143,13.68323383,1020.871429,3.871428571,11
HK,5/12/2004,49,0.649611306,25.8,21.51428571,20.6,65.85714286,0.007142857,13.32428571,30.41428571,12.46622354,1017.742857,4.342857143,12
HK,12/12/2004,50,0.326520527,23.3,19.31428571,18.1,62,0.007142857,13.85,24.17142857,10.29203692,1022.642857,3.942857143,12
HK,19/12/2004,51,0.075692823,23,19.94285714,19.2,75,0.007142857,13.17857143,22.8,12.94444372,1017.957143,3.771428571,12
HK,26/12/2004,52,0.482904521,24.1,19.97142857,19.8,79.42857143,0.028571429,12.17571429,26.55714286,13.71827685,1017.071429,2.642857143,12
HK,2/1/2005,1,0.215283423,21.4,12.82857143,16.9,60.57142857,0,9.474285714,28.4,7.102303788,1022.714286,5.385714286,1
HK,9/1/2005,2,0.000000001,20.4,16.81428571,16.8,71.42857143,0,9.671428571,21.21428571,10.25072597,1020.814286,3.557142857,1
HK,16/1/2005,3,0.08017165,18.8,13.87142857,15,67,0.5,11.83571429,23.8,8.140555745,1021.285714,4.985714286,1
HK,23/1/2005,4,0.396581468,21.1,16.31428571,16.1,80,0.014285714,10.77428571,24.67142857,11.15872505,1022.014286,3.271428571,1
HK,30/1/2005,5,0.332536334,21.6,18.4,18.3,89.71428571,0.221428571,6.561428571,16.31428571,14.1161453,1013.014286,2.942857143,1
HK,6/2/2005,6,1.628577173,19.4,15.3,17.9,87.57142857,0.271428571,4.22,25.64285714,11.62667749,1017.771429,2.185714286,2
HK,13/2/2005,7,2.099853075,24.5,18.37142857,18.1,84.28571429,0.078571429,10.86428571,23.32857143,13.33237465,1020.957143,4.4,2
HK,20/2/2005,8,2.105863119,24.7,17.02857143,20.5,82,0.335714286,4.807142857,24.71428571,12.59485716,1016.628571,4.014285714,2
HK,27/2/2005,9,2.539174971,23.1,15.17142857,17.4,88.85714286,1.057142857,3.665714286,25.17142857,11.78656995,1016.114286,3.371428571,2
HK,6/3/2005,10,2.454396984,17.2,13.5,12.5,73.14285714,4.7,9.36,28.35714286,8.55839266,1024.728571,3.785714286,3
HK,13/3/2005,11,3.957321641,22.9,17.42857143,20.5,83,0.864285714,10.14285714,20.28571429,12.67358775,1018.528571,5.257142857,3
HK,20/3/2005,12,5.183777621,25.7,17.55714286,19.1,79.28571429,0.035714286,11.44571429,27.37142857,12.0570641,1018.9,4.628571429,3
HK,27/3/2005,13,6.726317808,24.8,18.97142857,19,80.14285714,2.564285714,9.817142857,23.67142857,13.12553169,1016.242857,3.814285714,3
HK,3/4/2005,14,8.225648982,26.1,20.05714286,20.3,86.71428571,0.678571429,8.365714286,20.27142857,15.0817689,1013.842857,4.314285714,4
HK,10/4/2005,15,6.216391103,28.4,23.21428571,24.5,81.71428571,0.057142857,13.35714286,19.32857143,17.25219401,1014.457143,4.257142857,4
HK,17/4/2005,16,5.010745136,28.4,20.92857143,24.3,83.28571429,3.128571429,8.751428571,22.75714286,15.3109202,1016.714286,4.1,4
HK,24/4/2005,17,3.666603313,29.2,24.74285714,24,81.57142857,0,15.78428571,8.728571429,18.5313407,1014.285714,4.985714286,4
HK,1/5/2005,18,4.086442403,29.2,25.4,27,86.28571429,1.428571429,7.297142857,20.8,20.33223235,1009.514286,2.742857143,5
HK,8/5/2005,19,4.36283324,30.6,26.85714286,27.1,80.14285714,8.55,10.67285714,17.71428571,20.48230951,1007.4,3.4,5
